PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of complement activation (GO:0030449)	1	1	.04	+	27.46	3.64E-02
mitotic sister chromatid separation (GO:0051306)	1	1	.04	+	27.46	3.64E-02
positive chemotaxis (GO:0050918)	2	1	.07	+	13.73	7.15E-02
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	2	1	.07	+	13.73	7.15E-02
DNA methylation (GO:0006306)	5	2	.18	+	10.98	1.23E-02
DNA alkylation (GO:0006305)	5	2	.18	+	10.98	1.23E-02
filopodium assembly (GO:0046847)	3	1	.11	+	9.15	1.05E-01
purine nucleoside catabolic process (GO:0006152)	3	1	.11	+	9.15	1.05E-01
regulation of phosphatase activity (GO:0010921)	6	2	.22	+	9.15	1.80E-02
succinate transport (GO:0015744)	3	1	.11	+	9.15	1.05E-01
chromosome separation (GO:0051304)	3	1	.11	+	9.15	1.05E-01
protein K48-linked deubiquitination (GO:0071108)	3	1	.11	+	9.15	1.05E-01
regulation of lymphocyte migration (GO:2000401)	3	1	.11	+	9.15	1.05E-01
negative regulation of innate immune response (GO:0045824)	3	1	.11	+	9.15	1.05E-01
regulation of cell size (GO:0008361)	13	4	.47	+	8.45	9.54E-04
apoptotic cell clearance (GO:0043277)	4	1	.15	+	6.86	1.38E-01
regulation of lymphocyte mediated immunity (GO:0002706)	4	1	.15	+	6.86	1.38E-01
regulation of leukocyte mediated immunity (GO:0002703)	4	1	.15	+	6.86	1.38E-01
citrate transport (GO:0015746)	4	1	.15	+	6.86	1.38E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	1	.15	+	6.86	1.38E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	2	.29	+	6.86	3.20E-02
receptor clustering (GO:0043113)	8	2	.29	+	6.86	3.20E-02
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	1	.15	+	6.86	1.38E-01
adenosine metabolic process (GO:0046085)	4	1	.15	+	6.86	1.38E-01
mRNA cis splicing, via spliceosome (GO:0045292)	4	1	.15	+	6.86	1.38E-01
nuclear membrane organization (GO:0071763)	4	1	.15	+	6.86	1.38E-01
DNA strand elongation involved in DNA replication (GO:0006271)	12	3	.44	+	6.86	8.26E-03
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	4	1	.15	+	6.86	1.38E-01
regulation of neuronal synaptic plasticity (GO:0048168)	8	2	.29	+	6.86	3.20E-02
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	1	.15	+	6.86	1.38E-01
execution phase of apoptosis (GO:0097194)	8	2	.29	+	6.86	3.20E-02
tricarboxylic acid transport (GO:0006842)	4	1	.15	+	6.86	1.38E-01
regulation of dephosphorylation (GO:0035303)	9	2	.33	+	6.10	4.02E-02
adherens junction organization (GO:0034332)	23	5	.84	+	5.97	1.22E-03
regulation of peptide secretion (GO:0002791)	5	1	.18	+	5.49	1.69E-01
nucleoside triphosphate catabolic process (GO:0009143)	5	1	.18	+	5.49	1.69E-01
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	1	.18	+	5.49	1.69E-01
regulation of peptide transport (GO:0090087)	5	1	.18	+	5.49	1.69E-01
snRNA transcription by RNA polymerase II (GO:0042795)	5	1	.18	+	5.49	1.69E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	1	.18	+	5.49	1.69E-01
heme biosynthetic process (GO:0006783)	5	1	.18	+	5.49	1.69E-01
signal transduction by p53 class mediator (GO:0072331)	5	1	.18	+	5.49	1.69E-01
regulation of immune effector process (GO:0002697)	5	1	.18	+	5.49	1.69E-01
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	1	.18	+	5.49	1.69E-01
glycerol-3-phosphate metabolic process (GO:0006072)	5	1	.18	+	5.49	1.69E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	1	.18	+	5.49	1.69E-01
release of cytochrome c from mitochondria (GO:0001836)	5	1	.18	+	5.49	1.69E-01
regulation of peptide hormone secretion (GO:0090276)	5	1	.18	+	5.49	1.69E-01
plasma membrane phospholipid scrambling (GO:0017121)	5	1	.18	+	5.49	1.69E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	1	.18	+	5.49	1.69E-01
microtubule depolymerization (GO:0007019)	10	2	.36	+	5.49	4.91E-02
regulation of insulin secretion (GO:0050796)	5	1	.18	+	5.49	1.69E-01
synaptic vesicle exocytosis (GO:0016079)	21	4	.76	+	5.23	6.34E-03
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	3	.58	+	5.15	1.89E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	3	.58	+	5.15	1.89E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	3	.58	+	5.15	1.89E-02
dicarboxylic acid transport (GO:0006835)	16	3	.58	+	5.15	1.89E-02
membrane invagination (GO:0010324)	11	2	.40	+	4.99	5.86E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	2	.40	+	4.99	5.86E-02
