PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
platelet aggregation (GO:0070527)	4	4	.05	+	82.89	2.03E-08
mononuclear cell proliferation (GO:0032943)	1	1	.01	+	82.89	1.21E-02
lymphocyte proliferation (GO:0046651)	1	1	.01	+	82.89	1.21E-02
leukocyte proliferation (GO:0070661)	1	1	.01	+	82.89	1.21E-02
retinol metabolic process (GO:0042572)	1	1	.01	+	82.89	1.21E-02
platelet activation (GO:0030168)	5	4	.06	+	66.31	1.00E-07
protein activation cascade (GO:0072376)	5	4	.06	+	66.31	1.00E-07
negative regulation of blood coagulation (GO:0030195)	4	3	.05	+	62.17	6.81E-06
homotypic cell-cell adhesion (GO:0034109)	6	4	.07	+	55.26	2.98E-07
negative regulation of coagulation (GO:0050819)	5	3	.06	+	49.73	1.69E-05
regulation of response to wounding (GO:1903034)	6	3	.07	+	41.44	3.35E-05
hemostasis (GO:0007599)	8	4	.10	+	41.44	1.37E-06
blood coagulation (GO:0007596)	8	4	.10	+	41.44	1.37E-06
glycogen biosynthetic process (GO:0005978)	2	1	.02	+	41.44	2.40E-02
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	1	.02	+	41.44	2.40E-02
coagulation (GO:0050817)	8	4	.10	+	41.44	1.37E-06
regulation of wound healing (GO:0061041)	6	3	.07	+	41.44	3.35E-05
glucan biosynthetic process (GO:0009250)	2	1	.02	+	41.44	2.40E-02
regulation of coagulation (GO:0050818)	7	3	.08	+	35.52	5.80E-05
regulation of body fluid levels (GO:0050878)	11	4	.13	+	30.14	6.26E-06
telomere capping (GO:0016233)	3	1	.04	+	27.63	3.58E-02
DNA methylation (GO:0006306)	3	1	.04	+	27.63	3.58E-02
DNA alkylation (GO:0006305)	3	1	.04	+	27.63	3.58E-02
positive regulation of cell-cell adhesion (GO:0022409)	9	3	.11	+	27.63	1.37E-04
polysaccharide biosynthetic process (GO:0000271)	7	2	.08	+	23.68	2.92E-03
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	4	1	.05	+	20.72	4.74E-02
B cell differentiation (GO:0030183)	4	1	.05	+	20.72	4.74E-02
retinoid metabolic process (GO:0001523)	4	1	.05	+	20.72	4.74E-02
diterpenoid metabolic process (GO:0016101)	4	1	.05	+	20.72	4.74E-02
feeding behavior (GO:0007631)	4	1	.05	+	20.72	4.74E-02
cell activation (GO:0001775)	25	6	.30	+	19.89	4.05E-07
wound healing (GO:0042060)	17	4	.21	+	19.50	4.27E-05
response to wounding (GO:0009611)	23	5	.28	+	18.02	6.71E-06
regulation of cell-cell adhesion (GO:0022407)	14	3	.17	+	17.76	5.67E-04
post-translational protein targeting to membrane, translocation (GO:0031204)	5	1	.06	+	16.58	5.89E-02
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	5	1	.06	+	16.58	5.89E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	5	1	.06	+	16.58	5.89E-02
negative regulation of response to external stimulus (GO:0032102)	15	3	.18	+	16.58	7.03E-04
Golgi to vacuole transport (GO:0006896)	5	1	.06	+	16.58	5.89E-02
