PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	1	.04	+	26.03	3.84E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	1	1	.04	+	26.03	3.84E-02
tissue remodeling (GO:0048771)	1	1	.04	+	26.03	3.84E-02
glycogen biosynthetic process (GO:0005978)	2	1	.08	+	13.01	7.54E-02
phosphatidylcholine biosynthetic process (GO:0006656)	2	1	.08	+	13.01	7.54E-02
protein targeting to lysosome (GO:0006622)	2	1	.08	+	13.01	7.54E-02
glucan biosynthetic process (GO:0009250)	2	1	.08	+	13.01	7.54E-02
post-translational protein targeting to membrane, translocation (GO:0031204)	5	2	.19	+	10.41	1.36E-02
cytokine production (GO:0001816)	5	2	.19	+	10.41	1.36E-02
regulation of bone remodeling (GO:0046850)	3	1	.12	+	8.68	1.11E-01
filopodium assembly (GO:0046847)	3	1	.12	+	8.68	1.11E-01
regulation of response to wounding (GO:1903034)	6	2	.23	+	8.68	1.99E-02
telomere capping (GO:0016233)	3	1	.12	+	8.68	1.11E-01
regulation of phosphatase activity (GO:0010921)	6	2	.23	+	8.68	1.99E-02
regulation of tissue remodeling (GO:0034103)	3	1	.12	+	8.68	1.11E-01
regulation of wound healing (GO:0061041)	6	2	.23	+	8.68	1.99E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	3	1	.12	+	8.68	1.11E-01
Rac protein signal transduction (GO:0016601)	3	1	.12	+	8.68	1.11E-01
regulation of bone resorption (GO:0045124)	3	1	.12	+	8.68	1.11E-01
calcineurin-mediated signaling (GO:0097720)	7	2	.27	+	7.44	2.72E-02
phosphatidylcholine metabolic process (GO:0046470)	7	2	.27	+	7.44	2.72E-02
regulation of coagulation (GO:0050818)	7	2	.27	+	7.44	2.72E-02
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	2	.27	+	7.44	2.72E-02
mitochondrial RNA processing (GO:0000963)	7	2	.27	+	7.44	2.72E-02
positive regulation of cell-substrate adhesion (GO:0010811)	11	3	.42	+	7.10	7.38E-03
cyclic nucleotide metabolic process (GO:0009187)	8	2	.31	+	6.51	3.54E-02
cGMP biosynthetic process (GO:0006182)	4	1	.15	+	6.51	1.45E-01
negative regulation of blood coagulation (GO:0030195)	4	1	.15	+	6.51	1.45E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	1	.15	+	6.51	1.45E-01
early endosome to late endosome transport (GO:0045022)	4	1	.15	+	6.51	1.45E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	2	.31	+	6.51	3.54E-02
male meiotic nuclear division (GO:0007140)	4	1	.15	+	6.51	1.45E-01
cellular response to light stimulus (GO:0071482)	8	2	.31	+	6.51	3.54E-02
vesicle targeting (GO:0006903)	8	2	.31	+	6.51	3.54E-02
mitochondrial protein processing (GO:0034982)	4	1	.15	+	6.51	1.45E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	1	.15	+	6.51	1.45E-01
feeding behavior (GO:0007631)	4	1	.15	+	6.51	1.45E-01
