




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
lipid storage (GO:0019915)	3	3	.07	+	45.38	1.06E-05
regulation of complement activation (GO:0030449)	1	1	.02	+	45.38	2.20E-02
mitotic sister chromatid cohesion (GO:0007064)	8	4	.18	+	22.69	1.50E-05
retinol metabolic process (GO:0042572)	2	1	.04	+	22.69	4.36E-02
kinetochore assembly (GO:0051382)	6	2	.13	+	15.13	6.84E-03
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	1	.07	+	15.13	6.47E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	2	.13	+	15.13	6.84E-03
negative regulation of innate immune response (GO:0045824)	3	1	.07	+	15.13	6.47E-02
mRNA splice site recognition (GO:0006376)	12	3	.26	+	11.35	2.01E-03
regulation of lymphocyte mediated immunity (GO:0002706)	4	1	.09	+	11.35	8.53E-02
regulation of leukocyte mediated immunity (GO:0002703)	4	1	.09	+	11.35	8.53E-02
regulation of chromatin organization (GO:1902275)	4	1	.09	+	11.35	8.53E-02
kinetochore organization (GO:0051383)	8	2	.18	+	11.35	1.24E-02
mRNA cis splicing, via spliceosome (GO:0045292)	4	1	.09	+	11.35	8.53E-02
complement activation (GO:0006956)	4	1	.09	+	11.35	8.53E-02
sister chromatid cohesion (GO:0007062)	16	4	.35	+	11.35	3.40E-04
outer dynein arm assembly (GO:0036158)	4	1	.09	+	11.35	8.53E-02
membrane protein ectodomain proteolysis (GO:0006509)	9	2	.20	+	10.08	1.57E-02
skeletal muscle tissue development (GO:0007519)	14	3	.31	+	9.72	3.22E-03
positive regulation of adenylate cyclase activity (GO:0045762)	5	1	.11	+	9.08	1.05E-01
regulation of meiotic cell cycle (GO:0051445)	10	2	.22	+	9.08	1.94E-02
purine nucleobase metabolic process (GO:0006144)	10	2	.22	+	9.08	1.94E-02
regulation of immune effector process (GO:0002697)	5	1	.11	+	9.08	1.05E-01
neuron projection extension (GO:1990138)	5	1	.11	+	9.08	1.05E-01
retinoid metabolic process (GO:0001523)	5	1	.11	+	9.08	1.05E-01
diterpenoid metabolic process (GO:0016101)	5	1	.11	+	9.08	1.05E-01
developmental cell growth (GO:0048588)	5	1	.11	+	9.08	1.05E-01
cell growth (GO:0016049)	5	1	.11	+	9.08	1.05E-01
developmental growth involved in morphogenesis (GO:0060560)	5	1	.11	+	9.08	1.05E-01
skeletal muscle organ development (GO:0060538)	16	3	.35	+	8.51	4.79E-03
IMP biosynthetic process (GO:0006188)	6	1	.13	+	7.56	1.25E-01
acidic amino acid transport (GO:0015800)	6	1	.13	+	7.56	1.25E-01
spliceosomal complex assembly (GO:0000245)	18	3	.40	+	7.56	6.76E-03
negative regulation of nuclear division (GO:0051784)	13	2	.29	+	6.98	3.21E-02
protein targeting to vacuole (GO:0006623)	13	2	.29	+	6.98	3.21E-02
muscle organ development (GO:0007517)	20	3	.44	+	6.81	9.14E-03
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	3	.44	+	6.81	9.14E-03
regulation of adenylate cyclase activity (GO:0045761)	7	1	.15	+	6.48	1.44E-01
hormone metabolic process (GO:0042445)	14	2	.31	+	6.48	3.70E-02
positive regulation of actin filament bundle assembly (GO:0032233)	7	1	.15	+	6.48	1.44E-01
membrane protein proteolysis (GO:0033619)	14	2	.31	+	6.48	3.70E-02
developmental growth (GO:0048589)	7	1	.15	+	6.48	1.44E-01
humoral immune response (GO:0006959)	7	1	.15	+	6.48	1.44E-01
protein K11-linked ubiquitination (GO:0070979)	7	1	.15	+	6.48	1.44E-01
growth (GO:0040007)	7	1	.15	+	6.48	1.44E-01
cell adhesion mediated by integrin (GO:0033627)	21	3	.46	+	6.48	1.05E-02
positive regulation of Wnt signaling pathway (GO:0030177)	23	3	.51	+	5.92	1.35E-02
receptor clustering (GO:0043113)	8	1	.18	+	5.67	1.63E-01
reticulophagy (GO:0061709)	8	1	.18	+	5.67	1.63E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	4	.73	+	5.50	5.70E-03
positive regulation of cell development (GO:0010720)	33	4	.73	+	5.50	5.70E-03
integrin-mediated signaling pathway (GO:0007229)	25	3	.55	+	5.45	1.70E-02
maintenance of location (GO:0051235)	25	3	.55	+	5.45	1.70E-02
regulation of cell development (GO:0060284)	51	6	1.12	+	5.34	8.48E-04
activation of GTPase activity (GO:0090630)	35	4	.77	+	5.19	7.05E-03
positive regulation of cyclase activity (GO:0031281)	9	1	.20	+	5.04	1.82E-01
hemostasis (GO:0007599)	9	1	.20	+	5.04	1.82E-01
blood coagulation (GO:0007596)	9	1	.20	+	5.04	1.82E-01
terpenoid metabolic process (GO:0006721)	9	1	.20	+	5.04	1.82E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	18	2	.40	+	5.04	5.87E-02
wound healing (GO:0042060)	18	2	.40	+	5.04	5.87E-02
positive regulation of lyase activity (GO:0051349)	9	1	.20	+	5.04	1.82E-01
nucleosome assembly (GO:0006334)	9	1	.20	+	5.04	1.82E-01
IMP metabolic process (GO:0046040)	9	1	.20	+	5.04	1.82E-01
coagulation (GO:0050817)	9	1	.20	+	5.04	1.82E-01
nuclear envelope organization (GO:0006998)	9	1	.20	+	5.04	1.82E-01
immune effector process (GO:0002252)	9	1	.20	+	5.04	1.82E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	2	.40	+	5.04	5.87E-02
regulation of BMP signaling pathway (GO:0030510)	27	3	.59	+	5.04	2.09E-02
aspartate transmembrane transport (GO:0015810)	9	1	.20	+	5.04	1.82E-01
negative regulation of cell cycle phase transition (GO:1901988)	46	5	1.01	+	4.93	3.28E-03
nucleobase metabolic process (GO:0009112)	19	2	.42	+	4.78	6.47E-02
regulation of Wnt signaling pathway (GO:0030111)	57	6	1.26	+	4.78	1.53E-03
positive regulation of GTPase activity (GO:0043547)	48	5	1.06	+	4.73	3.95E-03
negative regulation of Wnt signaling pathway (GO:0030178)	29	3	.64	+	4.69	2.53E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	3	.64	+	4.69	2.53E-02
negative regulation of cell cycle process (GO:0010948)	49	5	1.08	+	4.63	4.32E-03
peptide catabolic process (GO:0043171)	10	1	.22	+	4.54	2.00E-01
cell-matrix adhesion (GO:0007160)	30	3	.66	+	4.54	2.77E-02
reciprocal meiotic recombination (GO:0007131)	20	2	.44	+	4.54	7.08E-02
regulation of actin filament bundle assembly (GO:0032231)	10	1	.22	+	4.54	2.00E-01
homologous recombination (GO:0035825)	20	2	.44	+	4.54	7.08E-02
positive regulation of synaptic transmission (GO:0050806)	20	2	.44	+	4.54	7.08E-02
protein export from nucleus (GO:0006611)	10	1	.22	+	4.54	2.00E-01
cilium movement involved in cell motility (GO:0060294)	10	1	.22	+	4.54	2.00E-01
endoplasmic reticulum tubular network organization (GO:0071786)	10	1	.22	+	4.54	2.00E-01
muscle tissue development (GO:0060537)	30	3	.66	+	4.54	2.77E-02
reciprocal homologous recombination (GO:0140527)	20	2	.44	+	4.54	7.08E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	41	4	.90	+	4.43	1.23E-02
regulation of Rho protein signal transduction (GO:0035023)	21	2	.46	+	4.32	7.72E-02
negative regulation of BMP signaling pathway (GO:0030514)	21	2	.46	+	4.32	7.72E-02
protein-DNA complex assembly (GO:0065004)	32	3	.71	+	4.25	3.28E-02
Notch signaling pathway (GO:0007219)	22	2	.48	+	4.13	8.37E-02
cell-substrate adhesion (GO:0031589)	44	4	.97	+	4.13	1.57E-02
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	1	.24	+	4.13	2.17E-01
regulation of cell growth (GO:0001558)	11	1	.24	+	4.13	2.17E-01
positive regulation of cell-substrate adhesion (GO:0010811)	11	1	.24	+	4.13	2.17E-01
nucleosome organization (GO:0034728)	11	1	.24	+	4.13	2.17E-01
response to oxidative stress (GO:0006979)	22	2	.48	+	4.13	8.37E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	2	.48	+	4.13	8.37E-02
endoplasmic reticulum organization (GO:0007029)	22	2	.48	+	4.13	8.37E-02
negative regulation of defense response (GO:0031348)	11	1	.24	+	4.13	2.17E-01
COPII-coated vesicle budding (GO:0090114)	11	1	.24	+	4.13	2.17E-01
axonemal dynein complex assembly (GO:0070286)	11	1	.24	+	4.13	2.17E-01
negative regulation of cell cycle (GO:0045786)	58	5	1.28	+	3.91	8.85E-03
regulation of neurogenesis (GO:0050767)	35	3	.77	+	3.89	4.12E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	1	.26	+	3.78	2.35E-01
regulation of cyclase activity (GO:0031279)	12	1	.26	+	3.78	2.35E-01
C4-dicarboxylate transport (GO:0015740)	12	1	.26	+	3.78	2.35E-01
establishment of protein localization to vacuole (GO:0072666)	24	2	.53	+	3.78	9.73E-02
regulation of lyase activity (GO:0051339)	12	1	.26	+	3.78	2.35E-01
regulation of hormone levels (GO:0010817)	24	2	.53	+	3.78	9.73E-02
response to wounding (GO:0009611)	24	2	.53	+	3.78	9.73E-02
mitochondrial translation (GO:0032543)	12	1	.26	+	3.78	2.35E-01
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	1	.26	+	3.78	2.35E-01
negative regulation of mitotic cell cycle (GO:0045930)	37	3	.82	+	3.68	4.74E-02
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	2	.55	+	3.63	1.04E-01
meiosis I (GO:0007127)	25	2	.55	+	3.63	1.04E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	1	.29	+	3.49	2.52E-01
respiratory electron transport chain (GO:0022904)	13	1	.29	+	3.49	2.52E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	13	1	.29	+	3.49	2.52E-01
regulation of cell size (GO:0008361)	13	1	.29	+	3.49	2.52E-01
innate immune response (GO:0045087)	26	2	.57	+	3.49	1.11E-01
protein localization to vacuole (GO:0072665)	26	2	.57	+	3.49	1.11E-01
regulation of cell-substrate adhesion (GO:0010810)	13	1	.29	+	3.49	2.52E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	13	1	.29	+	3.49	2.52E-01
positive regulation of cell differentiation (GO:0045597)	52	4	1.15	+	3.49	2.73E-02
meiosis I cell cycle process (GO:0061982)	27	2	.59	+	3.36	1.19E-01
synaptic vesicle endocytosis (GO:0048488)	27	2	.59	+	3.36	1.19E-01
positive regulation of hydrolase activity (GO:0051345)	68	5	1.50	+	3.34	1.69E-02
regulation of GTPase activity (GO:0043087)	69	5	1.52	+	3.29	1.79E-02
synaptic vesicle recycling (GO:0036465)	28	2	.62	+	3.24	1.26E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	14	1	.31	+	3.24	2.68E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	1	.31	+	3.24	2.68E-01
regulation of nuclear division (GO:0051783)	28	2	.62	+	3.24	1.26E-01
cilium or flagellum-dependent cell motility (GO:0001539)	14	1	.31	+	3.24	2.68E-01
regulation of body fluid levels (GO:0050878)	14	1	.31	+	3.24	2.68E-01
nucleus organization (GO:0006997)	14	1	.31	+	3.24	2.68E-01
cilium-dependent cell motility (GO:0060285)	14	1	.31	+	3.24	2.68E-01
defense response to symbiont (GO:0140546)	28	2	.62	+	3.24	1.26E-01
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	14	1	.31	+	3.24	2.68E-01
extracellular matrix organization (GO:0030198)	100	7	2.20	+	3.18	6.54E-03
extracellular structure organization (GO:0043062)	100	7	2.20	+	3.18	6.54E-03
external encapsulating structure organization (GO:0045229)	100	7	2.20	+	3.18	6.54E-03
muscle structure development (GO:0061061)	58	4	1.28	+	3.13	3.87E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	44	3	.97	+	3.09	7.24E-02
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	1	.33	+	3.03	2.84E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	1	.33	+	3.03	2.84E-01
negative regulation of RNA catabolic process (GO:1902369)	15	1	.33	+	3.03	2.84E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	1	.33	+	3.03	2.84E-01
negative regulation of response to external stimulus (GO:0032102)	15	1	.33	+	3.03	2.84E-01
axoneme assembly (GO:0035082)	15	1	.33	+	3.03	2.84E-01
regulation of cell differentiation (GO:0045595)	91	6	2.01	+	2.99	1.52E-02
regulation of cell cycle phase transition (GO:1901987)	76	5	1.67	+	2.99	2.60E-02
regulation of nervous system development (GO:0051960)	48	3	1.06	+	2.84	8.88E-02
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	1	.35	+	2.84	3.00E-01
electron transport chain (GO:0022900)	16	1	.35	+	2.84	3.00E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	1	.35	+	2.84	3.00E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	1	.35	+	2.84	3.00E-01
microautophagy (GO:0016237)	16	1	.35	+	2.84	3.00E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	2	.71	+	2.84	1.56E-01
negative regulation of immune system process (GO:0002683)	16	1	.35	+	2.84	3.00E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.35	+	2.84	3.00E-01
piecemeal microautophagy of the nucleus (GO:0034727)	16	1	.35	+	2.84	3.00E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	1	.35	+	2.84	3.00E-01
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	1	.35	+	2.84	3.00E-01
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	16	1	.35	+	2.84	3.00E-01
regulation of growth (GO:0040008)	16	1	.35	+	2.84	3.00E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	1	.35	+	2.84	3.00E-01
GPI anchor biosynthetic process (GO:0006506)	16	1	.35	+	2.84	3.00E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	1	.35	+	2.84	3.00E-01
dicarboxylic acid transport (GO:0006835)	16	1	.35	+	2.84	3.00E-01
L-amino acid transport (GO:0015807)	16	1	.35	+	2.84	3.00E-01
meiotic nuclear division (GO:0140013)	33	2	.73	+	2.75	1.64E-01
negative regulation of multicellular organismal process (GO:0051241)	33	2	.73	+	2.75	1.64E-01
defense response to other organism (GO:0098542)	33	2	.73	+	2.75	1.64E-01
isoprenoid metabolic process (GO:0006720)	17	1	.37	+	2.67	3.15E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	1	.37	+	2.67	3.15E-01
protein localization to cell junction (GO:1902414)	17	1	.37	+	2.67	3.15E-01
intrinsic apoptotic signaling pathway (GO:0097193)	17	1	.37	+	2.67	3.15E-01
GPI anchor metabolic process (GO:0006505)	17	1	.37	+	2.67	3.15E-01
protein processing (GO:0016485)	53	3	1.17	+	2.57	1.11E-01
purine ribonucleotide catabolic process (GO:0009154)	18	1	.40	+	2.52	3.31E-01
intraciliary transport (GO:0042073)	18	1	.40	+	2.52	3.31E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	54	3	1.19	+	2.52	1.16E-01
regulation of mRNA processing (GO:0050684)	37	2	.82	+	2.45	1.96E-01
cell cycle checkpoint signaling (GO:0000075)	37	2	.82	+	2.45	1.96E-01
positive regulation of developmental process (GO:0051094)	75	4	1.65	+	2.42	8.34E-02
chromosome organization (GO:0051276)	113	6	2.49	+	2.41	3.87E-02
purine nucleotide catabolic process (GO:0006195)	19	1	.42	+	2.39	3.45E-01
establishment of protein localization to extracellular region (GO:0035592)	19	1	.42	+	2.39	3.45E-01
