PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of complement activation (GO:0030449)	1	1	.02	+	43.08	2.32E-02
lipid storage (GO:0019915)	3	3	.07	+	43.08	1.24E-05
regulation of bone remodeling (GO:0046850)	3	2	.07	+	28.72	1.59E-03
regulation of tissue remodeling (GO:0034103)	3	2	.07	+	28.72	1.59E-03
regulation of bone resorption (GO:0045124)	3	2	.07	+	28.72	1.59E-03
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	2	.12	+	17.23	5.13E-03
telomere capping (GO:0016233)	3	1	.07	+	14.36	6.80E-02
kinetochore assembly (GO:0051382)	6	2	.14	+	14.36	7.57E-03
regulation of myeloid cell differentiation (GO:0045637)	6	2	.14	+	14.36	7.57E-03
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	1	.07	+	14.36	6.80E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	2	.14	+	14.36	7.57E-03
negative regulation of innate immune response (GO:0045824)	3	1	.07	+	14.36	6.80E-02
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	3	1	.07	+	14.36	6.80E-02
aspartate transmembrane transport (GO:0015810)	9	3	.21	+	14.36	9.37E-04
regulation of hemopoiesis (GO:1903706)	7	2	.16	+	12.31	1.04E-02
regulation of lymphocyte mediated immunity (GO:0002706)	4	1	.09	+	10.77	8.97E-02
regulation of leukocyte mediated immunity (GO:0002703)	4	1	.09	+	10.77	8.97E-02
C4-dicarboxylate transport (GO:0015740)	12	3	.28	+	10.77	2.33E-03
kinetochore organization (GO:0051383)	8	2	.19	+	10.77	1.37E-02
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	1	.09	+	10.77	8.97E-02
mitotic sister chromatid cohesion (GO:0007064)	8	2	.19	+	10.77	1.37E-02
membrane protein ectodomain proteolysis (GO:0006509)	9	2	.21	+	9.57	1.74E-02
regulation of meiotic cell cycle (GO:0051445)	10	2	.23	+	8.62	2.14E-02
purine nucleobase metabolic process (GO:0006144)	10	2	.23	+	8.62	2.14E-02
bile acid and bile salt transport (GO:0015721)	5	1	.12	+	8.62	1.11E-01
regulation of immune effector process (GO:0002697)	5	1	.12	+	8.62	1.11E-01
positive regulation of leukocyte activation (GO:0002696)	5	1	.12	+	8.62	1.11E-01
stress fiber assembly (GO:0043149)	5	1	.12	+	8.62	1.11E-01
contractile actin filament bundle assembly (GO:0030038)	5	1	.12	+	8.62	1.11E-01
positive regulation of cell activation (GO:0050867)	5	1	.12	+	8.62	1.11E-01
positive regulation of cation channel activity (GO:2001259)	5	1	.12	+	8.62	1.11E-01
positive regulation of lymphocyte activation (GO:0051251)	5	1	.12	+	8.62	1.11E-01
plasma membrane phospholipid scrambling (GO:0017121)	5	1	.12	+	8.62	1.11E-01
Golgi to vacuole transport (GO:0006896)	5	1	.12	+	8.62	1.11E-01
