PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of complement activation (GO:0030449)	1	1	.03	+	36.36	2.75E-02
hematopoietic progenitor cell differentiation (GO:0002244)	1	1	.03	+	36.36	2.75E-02
B cell differentiation (GO:0030183)	4	2	.11	+	18.18	4.36E-03
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	1	.06	+	18.18	5.43E-02
phosphatidylcholine biosynthetic process (GO:0006656)	2	1	.06	+	18.18	5.43E-02
positive regulation of type I interferon production (GO:0032481)	2	1	.06	+	18.18	5.43E-02
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	2	.14	+	14.54	7.14E-03
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	1	.08	+	12.12	8.03E-02
antigen processing and presentation (GO:0019882)	3	1	.08	+	12.12	8.03E-02
regulation of phosphatase activity (GO:0010921)	6	2	.17	+	12.12	1.05E-02
positive regulation of T cell activation (GO:0050870)	3	1	.08	+	12.12	8.03E-02
DNA demethylation (GO:0080111)	6	2	.17	+	12.12	1.05E-02
negative regulation of innate immune response (GO:0045824)	3	1	.08	+	12.12	8.03E-02
lipid storage (GO:0019915)	3	1	.08	+	12.12	8.03E-02
B cell activation (GO:0042113)	7	2	.19	+	10.39	1.45E-02
endoderm development (GO:0007492)	7	2	.19	+	10.39	1.45E-02
regulation of double-strand break repair (GO:2000779)	7	2	.19	+	10.39	1.45E-02
endoderm formation (GO:0001706)	7	2	.19	+	10.39	1.45E-02
regulation of lymphocyte mediated immunity (GO:0002706)	4	1	.11	+	9.09	1.06E-01
regulation of leukocyte mediated immunity (GO:0002703)	4	1	.11	+	9.09	1.06E-01
signal peptide processing (GO:0006465)	4	1	.11	+	9.09	1.06E-01
outer dynein arm assembly (GO:0036158)	4	1	.11	+	9.09	1.06E-01
positive regulation of DNA repair (GO:0045739)	9	2	.25	+	8.08	2.39E-02
regulation of dephosphorylation (GO:0035303)	9	2	.25	+	8.08	2.39E-02
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	2	.25	+	8.08	2.39E-02
