PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
response to interleukin-1 (GO:0070555)	2	1	.07	+	14.26	6.89E-02
positive chemotaxis (GO:0050918)	2	1	.07	+	14.26	6.89E-02
insulin secretion (GO:0030073)	2	1	.07	+	14.26	6.89E-02
mitotic cytokinetic process (GO:1902410)	2	1	.07	+	14.26	6.89E-02
negative regulation of cAMP-mediated signaling (GO:0043951)	2	1	.07	+	14.26	6.89E-02
regulation of cAMP-mediated signaling (GO:0043949)	2	1	.07	+	14.26	6.89E-02
peptide secretion (GO:0002790)	3	1	.11	+	9.51	1.02E-01
hormone secretion (GO:0046879)	3	1	.11	+	9.51	1.02E-01
regulation of filopodium assembly (GO:0051489)	6	2	.21	+	9.51	1.67E-02
meiotic DNA double-strand break formation (GO:0042138)	3	1	.11	+	9.51	1.02E-01
peptide hormone secretion (GO:0030072)	3	1	.11	+	9.51	1.02E-01
hormone transport (GO:0009914)	3	1	.11	+	9.51	1.02E-01
amino sugar catabolic process (GO:0046348)	3	1	.11	+	9.51	1.02E-01
septin cytoskeleton organization (GO:0032185)	3	1	.11	+	9.51	1.02E-01
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	3	1	.11	+	9.51	1.02E-01
positive regulation of epithelial cell proliferation (GO:0050679)	7	2	.25	+	8.15	2.29E-02
endoderm development (GO:0007492)	7	2	.25	+	8.15	2.29E-02
regulation of double-strand break repair (GO:2000779)	7	2	.25	+	8.15	2.29E-02
endoderm formation (GO:0001706)	7	2	.25	+	8.15	2.29E-02
COPII-coated vesicle budding (GO:0090114)	11	3	.39	+	7.78	5.72E-03
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	1	.14	+	7.13	1.33E-01
endothelial cell migration (GO:0043542)	4	1	.14	+	7.13	1.33E-01
response to glucose (GO:0009749)	4	1	.14	+	7.13	1.33E-01
signal peptide processing (GO:0006465)	4	1	.14	+	7.13	1.33E-01
centrosome localization (GO:0051642)	8	2	.28	+	7.13	2.98E-02
reticulophagy (GO:0061709)	8	2	.28	+	7.13	2.98E-02
DNA double-strand break processing (GO:0000729)	4	1	.14	+	7.13	1.33E-01
actin filament depolymerization (GO:0030042)	8	2	.28	+	7.13	2.98E-02
defense response to virus (GO:0051607)	4	1	.14	+	7.13	1.33E-01
response to virus (GO:0009615)	4	1	.14	+	7.13	1.33E-01
mRNA cis splicing, via spliceosome (GO:0045292)	4	1	.14	+	7.13	1.33E-01
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	2	.28	+	7.13	2.98E-02
actomyosin contractile ring assembly (GO:0000915)	4	1	.14	+	7.13	1.33E-01
DNA geometric change (GO:0032392)	12	3	.42	+	7.13	7.43E-03
