PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
DNA demethylation (GO:0080111)	6	1	.02	+	63.92	1.55E-02
fluid transport (GO:0042044)	7	1	.02	+	54.79	1.81E-02
water transport (GO:0006833)	7	1	.02	+	54.79	1.81E-02
protein neddylation (GO:0045116)	7	1	.02	+	54.79	1.81E-02
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	8	1	.02	+	47.94	2.07E-02
carbohydrate transmembrane transport (GO:0034219)	9	1	.02	+	42.62	2.32E-02
carbohydrate transport (GO:0008643)	9	1	.02	+	42.62	2.32E-02
peptide catabolic process (GO:0043171)	10	1	.03	+	38.35	2.58E-02
myeloid cell differentiation (GO:0030099)	10	1	.03	+	38.35	2.58E-02
mitophagy (GO:0000423)	11	1	.03	+	34.87	2.83E-02
DNA modification (GO:0006304)	12	1	.03	+	31.96	3.09E-02
protein localization to synapse (GO:0035418)	13	1	.03	+	29.50	3.34E-02
endocytic recycling (GO:0032456)	29	2	.08	+	26.45	2.56E-03
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	1	.04	+	25.57	3.84E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.04	+	23.97	4.09E-02
GPI anchor biosynthetic process (GO:0006506)	16	1	.04	+	23.97	4.09E-02
protein localization to cell junction (GO:1902414)	17	1	.04	+	22.56	4.34E-02
GPI anchor metabolic process (GO:0006505)	17	1	.04	+	22.56	4.34E-02
acetylcholine receptor signaling pathway (GO:0095500)	21	1	.05	+	18.26	5.34E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	2	.14	+	14.75	8.04E-03
organic hydroxy compound transport (GO:0015850)	26	1	.07	+	14.75	6.57E-02
hemopoiesis (GO:0030097)	27	1	.07	+	14.21	6.81E-02
glycolipid biosynthetic process (GO:0009247)	29	1	.08	+	13.23	7.30E-02
autophagy of mitochondrion (GO:0000422)	36	1	.09	+	10.65	8.98E-02
glycolipid metabolic process (GO:0006664)	36	1	.09	+	10.65	8.98E-02
liposaccharide metabolic process (GO:1903509)	37	1	.10	+	10.37	9.22E-02
Golgi organization (GO:0007030)	40	1	.10	+	9.59	9.93E-02
autophagosome assembly (GO:0000045)	44	1	.11	+	8.72	1.09E-01
protein localization to plasma membrane (GO:0072659)	45	1	.12	+	8.52	1.11E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	2	.23	+	8.52	2.29E-02
organelle disassembly (GO:1903008)	46	1	.12	+	8.34	1.13E-01
endosomal transport (GO:0016197)	98	2	.26	+	7.83	2.68E-02
lipoprotein biosynthetic process (GO:0042158)	50	1	.13	+	7.67	1.23E-01
protein lipidation (GO:0006497)	50	1	.13	+	7.67	1.23E-01
protein-containing complex localization (GO:0031503)	52	1	.14	+	7.38	1.27E-01
protein localization to cell periphery (GO:1990778)	52	1	.14	+	7.38	1.27E-01
phosphatidylinositol biosynthetic process (GO:0006661)	53	1	.14	+	7.24	1.29E-01
establishment of protein localization to membrane (GO:0090150)	53	1	.14	+	7.24	1.29E-01
macroautophagy (GO:0016236)	55	1	.14	+	6.97	1.34E-01
lipoprotein metabolic process (GO:0042157)	56	1	.15	+	6.85	1.36E-01
membrane lipid biosynthetic process (GO:0046467)	57	1	.15	+	6.73	1.39E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	1	.16	+	6.19	1.50E-01
vacuole organization (GO:0007033)	63	1	.16	+	6.09	1.52E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	3	.50	+	6.06	1.30E-02
autophagy (GO:0006914)	64	1	.17	+	5.99	1.54E-01
process utilizing autophagic mechanism (GO:0061919)	64	1	.17	+	5.99	1.54E-01
positive regulation of MAPK cascade (GO:0043410)	68	1	.18	+	5.64	1.63E-01
cellular response to nitrogen compound (GO:1901699)	68	1	.18	+	5.64	1.63E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	1	.18	+	5.56	1.65E-01
