PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
translational termination (GO:0006415)	3	1	.03	+	39.92	2.48E-02
lipid storage (GO:0019915)	3	1	.03	+	39.92	2.48E-02
vesicle targeting (GO:0006903)	8	2	.07	+	29.94	1.87E-03
motile cilium assembly (GO:0044458)	4	1	.03	+	29.94	3.30E-02
membrane protein ectodomain proteolysis (GO:0006509)	9	2	.08	+	26.61	2.39E-03
regulation of lipid biosynthetic process (GO:0046890)	5	1	.04	+	23.95	4.11E-02
bile acid and bile salt transport (GO:0015721)	5	1	.04	+	23.95	4.11E-02
ubiquinone biosynthetic process (GO:0006744)	5	1	.04	+	23.95	4.11E-02
regulation of cilium assembly (GO:1902017)	5	1	.04	+	23.95	4.11E-02
mitochondrial RNA processing (GO:0000963)	5	1	.04	+	23.95	4.11E-02
non-motile cilium assembly (GO:1905515)	13	2	.11	+	18.42	5.07E-03
membrane protein proteolysis (GO:0033619)	14	2	.12	+	17.11	5.88E-03
protein K11-linked ubiquitination (GO:0070979)	7	1	.06	+	17.11	5.70E-02
regulation of lipid metabolic process (GO:0019216)	9	1	.08	+	13.31	7.27E-02
hemostasis (GO:0007599)	9	1	.08	+	13.31	7.27E-02
blood coagulation (GO:0007596)	9	1	.08	+	13.31	7.27E-02
coagulation (GO:0050817)	9	1	.08	+	13.31	7.27E-02
cilium movement involved in cell motility (GO:0060294)	9	1	.08	+	13.31	7.27E-02
Notch signaling pathway (GO:0007219)	20	2	.17	+	11.98	1.19E-02
regulation of JNK cascade (GO:0046328)	10	1	.08	+	11.98	8.05E-02
cilium or flagellum-dependent cell motility (GO:0001539)	11	1	.09	+	10.89	8.82E-02
positive regulation of cell-substrate adhesion (GO:0010811)	11	1	.09	+	10.89	8.82E-02
cilium-dependent cell motility (GO:0060285)	11	1	.09	+	10.89	8.82E-02
mitochondrial RNA metabolic process (GO:0000959)	11	1	.09	+	10.89	8.82E-02
axoneme assembly (GO:0035082)	11	1	.09	+	10.89	8.82E-02
mitochondrial gene expression (GO:0140053)	23	2	.19	+	10.41	1.56E-02
aspartate family amino acid metabolic process (GO:0009066)	12	1	.10	+	9.98	9.58E-02
mitochondrial translation (GO:0032543)	12	1	.10	+	9.98	9.58E-02
dicarboxylic acid metabolic process (GO:0043648)	12	1	.10	+	9.98	9.58E-02
regulation of cell-substrate adhesion (GO:0010810)	13	1	.11	+	9.21	1.03E-01
regulation of body fluid levels (GO:0050878)	13	1	.11	+	9.21	1.03E-01
BMP signaling pathway (GO:0030509)	13	1	.11	+	9.21	1.03E-01
retrograde transport, endosome to Golgi (GO:0042147)	28	2	.23	+	8.55	2.26E-02
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	1	.12	+	8.55	1.11E-01
cellular response to BMP stimulus (GO:0071773)	14	1	.12	+	8.55	1.11E-01
response to BMP (GO:0071772)	14	1	.12	+	8.55	1.11E-01
negative regulation of immune system process (GO:0002683)	15	1	.13	+	7.98	1.18E-01
tRNA methylation (GO:0030488)	16	1	.13	+	7.48	1.26E-01
cytosolic transport (GO:0016482)	32	2	.27	+	7.48	2.91E-02
positive regulation of neurogenesis (GO:0050769)	16	1	.13	+	7.48	1.26E-01
wound healing (GO:0042060)	17	1	.14	+	7.04	1.33E-01
establishment of vesicle localization (GO:0051650)	34	2	.28	+	7.04	3.25E-02
cilium movement (GO:0003341)	17	1	.14	+	7.04	1.33E-01
vesicle localization (GO:0051648)	35	2	.29	+	6.84	3.43E-02
positive regulation of translation (GO:0045727)	18	1	.15	+	6.65	1.40E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	18	1	.15	+	6.65	1.40E-01
response to transforming growth factor beta (GO:0071559)	18	1	.15	+	6.65	1.40E-01
microtubule bundle formation (GO:0001578)	18	1	.15	+	6.65	1.40E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	18	1	.15	+	6.65	1.40E-01
positive regulation of cell adhesion (GO:0045785)	20	1	.17	+	5.99	1.55E-01
regulation of MAP kinase activity (GO:0043405)	20	1	.17	+	5.99	1.55E-01
regulation of organelle assembly (GO:1902115)	20	1	.17	+	5.99	1.55E-01
cytoplasmic microtubule organization (GO:0031122)	20	1	.17	+	5.99	1.55E-01
regulation of cell projection assembly (GO:0060491)	22	1	.18	+	5.44	1.69E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	22	1	.18	+	5.44	1.69E-01
regulation of innate immune response (GO:0045088)	23	1	.19	+	5.21	1.76E-01
protein processing (GO:0016485)	46	2	.38	+	5.21	5.63E-02
response to wounding (GO:0009611)	23	1	.19	+	5.21	1.76E-01
negative regulation of MAPK cascade (GO:0043409)	24	1	.20	+	4.99	1.82E-01
positive regulation of nervous system development (GO:0051962)	25	1	.21	+	4.79	1.89E-01
maintenance of location (GO:0051235)	25	1	.21	+	4.79	1.89E-01
regulation of response to biotic stimulus (GO:0002831)	25	1	.21	+	4.79	1.89E-01
organic hydroxy compound transport (GO:0015850)	25	1	.21	+	4.79	1.89E-01
translational initiation (GO:0006413)	28	1	.23	+	4.28	2.09E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	28	1	.23	+	4.28	2.09E-01
calcium ion homeostasis (GO:0055074)	56	2	.47	+	4.28	7.95E-02
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	28	1	.23	+	4.28	2.09E-01
positive regulation of cell development (GO:0010720)	28	1	.23	+	4.28	2.09E-01
regulation of immune response (GO:0050776)	56	2	.47	+	4.28	7.95E-02
protein modification by small protein removal (GO:0070646)	59	2	.49	+	4.06	8.69E-02
regulation of neurogenesis (GO:0050767)	30	1	.25	+	3.99	2.23E-01
negative regulation of protein kinase activity (GO:0006469)	31	1	.26	+	3.86	2.29E-01
muscle cell development (GO:0055001)	31	1	.26	+	3.86	2.29E-01
negative regulation of protein phosphorylation (GO:0001933)	32	1	.27	+	3.74	2.36E-01
negative regulation of phosphorylation (GO:0042326)	32	1	.27	+	3.74	2.36E-01
regulation of defense response (GO:0031347)	32	1	.27	+	3.74	2.36E-01
monocarboxylic acid transport (GO:0015718)	33	1	.28	+	3.63	2.42E-01
activation of GTPase activity (GO:0090630)	33	1	.28	+	3.63	2.42E-01
cilium assembly (GO:0060271)	100	3	.84	+	3.59	5.10E-02
tRNA modification (GO:0006400)	35	1	.29	+	3.42	2.55E-01
negative regulation of phosphorus metabolic process (GO:0010563)	35	1	.29	+	3.42	2.55E-01
negative regulation of phosphate metabolic process (GO:0045936)	35	1	.29	+	3.42	2.55E-01
protein maturation (GO:0051604)	141	4	1.18	+	3.40	3.02E-02
plasma membrane bounded cell projection assembly (GO:0120031)	107	3	.89	+	3.36	6.01E-02
RNA methylation (GO:0001510)	36	1	.30	+	3.33	2.61E-01
proteinogenic amino acid metabolic process (GO:0170039)	37	1	.31	+	3.24	2.67E-01
muscle cell differentiation (GO:0042692)	37	1	.31	+	3.24	2.67E-01
regulation of cell adhesion (GO:0030155)	38	1	.32	+	3.15	2.73E-01
protein-containing complex disassembly (GO:0032984)	38	1	.32	+	3.15	2.73E-01
cilium organization (GO:0044782)	114	3	.95	+	3.15	6.99E-02
peptide metabolic process (GO:0006518)	153	4	1.28	+	3.13	3.90E-02
protein O-linked glycosylation (GO:0006493)	39	1	.33	+	3.07	2.79E-01
protein folding (GO:0006457)	78	2	.65	+	3.07	1.38E-01
cell projection assembly (GO:0030031)	117	3	.98	+	3.07	7.43E-02
lipid localization (GO:0010876)	80	2	.67	+	2.99	1.44E-01
negative regulation of protein modification process (GO:0031400)	40	1	.33	+	2.99	2.85E-01
cellular response to organonitrogen compound (GO:0071417)	41	1	.34	+	2.92	2.91E-01
establishment of organelle localization (GO:0051656)	83	2	.69	+	2.89	1.53E-01
regulation of nervous system development (GO:0051960)	42	1	.35	+	2.85	2.97E-01
cell-substrate adhesion (GO:0031589)	43	1	.36	+	2.79	3.03E-01
endosomal transport (GO:0016197)	86	2	.72	+	2.79	1.61E-01
inorganic ion homeostasis (GO:0098771)	87	2	.73	+	2.75	1.64E-01
L-amino acid metabolic process (GO:0170033)	44	1	.37	+	2.72	3.09E-01
regulation of translation (GO:0006417)	44	1	.37	+	2.72	3.09E-01
positive regulation of GTPase activity (GO:0043547)	45	1	.38	+	2.66	3.15E-01
regulation of immune system process (GO:0002682)	90	2	.75	+	2.66	1.73E-01
regulation of cell development (GO:0060284)	45	1	.38	+	2.66	3.15E-01
regulation of amide metabolic process (GO:0034248)	47	1	.39	+	2.55	3.26E-01
positive regulation of cell differentiation (GO:0045597)	47	1	.39	+	2.55	3.26E-01
regulation of response to external stimulus (GO:0032101)	47	1	.39	+	2.55	3.26E-01
tRNA processing (GO:0008033)	48	1	.40	+	2.49	3.32E-01
extracellular matrix organization (GO:0030198)	96	2	.80	+	2.49	1.91E-01
protein dephosphorylation (GO:0006470)	48	1	.40	+	2.49	3.32E-01
macromolecule methylation (GO:0043414)	48	1	.40	+	2.49	3.32E-01
methylation (GO:0032259)	48	1	.40	+	2.49	3.32E-01
negative regulation of signal transduction (GO:0009968)	144	3	1.20	+	2.49	1.19E-01
extracellular structure organization (GO:0043062)	96	2	.80	+	2.49	1.91E-01
external encapsulating structure organization (GO:0045229)	96	2	.80	+	2.49	1.91E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	49	1	.41	+	2.44	3.38E-01
canonical Wnt signaling pathway (GO:0060070)	49	1	.41	+	2.44	3.38E-01
recombinational repair (GO:0000725)	50	1	.42	+	2.40	3.43E-01
double-strand break repair via homologous recombination (GO:0000724)	50	1	.42	+	2.40	3.43E-01
Wnt signaling pathway (GO:0016055)	50	1	.42	+	2.40	3.43E-01
