PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
centriole elongation (GO:0061511)	1	1	.01	+	74.20	1.35E-02
kinetochore assembly (GO:0051382)	6	2	.08	+	24.73	2.61E-03
vesicle targeting, to, from or within Golgi (GO:0048199)	3	1	.04	+	24.73	3.99E-02
calcineurin-mediated signaling (GO:0097720)	7	2	.09	+	21.20	3.62E-03
response to UV (GO:0009411)	7	2	.09	+	21.20	3.62E-03
endoderm development (GO:0007492)	7	2	.09	+	21.20	3.62E-03
positive regulation of apoptotic signaling pathway (GO:2001235)	7	2	.09	+	21.20	3.62E-03
endoderm formation (GO:0001706)	7	2	.09	+	21.20	3.62E-03
protein K63-linked ubiquitination (GO:0070534)	4	1	.05	+	18.55	5.28E-02
kinetochore organization (GO:0051383)	8	2	.11	+	18.55	4.79E-03
cytokine production (GO:0001816)	5	1	.07	+	14.84	6.56E-02
mRNA splice site recognition (GO:0006376)	10	2	.13	+	14.84	7.56E-03
regulation of cell adhesion mediated by integrin (GO:0033628)	5	1	.07	+	14.84	6.56E-02
DNA demethylation (GO:0080111)	5	1	.07	+	14.84	6.56E-02
centrosome duplication (GO:0051298)	10	2	.13	+	14.84	7.56E-03
positive regulation of protein serine/threonine kinase activity (GO:0071902)	11	2	.15	+	13.49	9.16E-03
regulation of response to wounding (GO:1903034)	6	1	.08	+	12.37	7.82E-02
platelet activation (GO:0030168)	6	1	.08	+	12.37	7.82E-02
negative regulation of MAPK cascade (GO:0043409)	24	4	.32	+	12.37	2.73E-04
regulation of telomere maintenance (GO:0032204)	6	1	.08	+	12.37	7.82E-02
heart morphogenesis (GO:0003007)	12	2	.16	+	12.37	1.09E-02
regulation of wound healing (GO:0061041)	6	1	.08	+	12.37	7.82E-02
zymogen activation (GO:0031638)	6	1	.08	+	12.37	7.82E-02
gastrulation (GO:0007369)	13	2	.18	+	11.42	1.28E-02
formation of primary germ layer (GO:0001704)	13	2	.18	+	11.42	1.28E-02
peptide catabolic process (GO:0043171)	7	1	.09	+	10.60	9.06E-02
positive regulation of actin filament bundle assembly (GO:0032233)	7	1	.09	+	10.60	9.06E-02
