Ne	Gen_time	decline	f0	score_type	sel_s	n_total	n_outliers	n_selected_outliers	freq_selected
10000	5	0.8	0	composite	0.01	10204	103	1	0.009708737864077669
10000	5	0.8	0	composite	0.05	10204	103	1	0.009708737864077669
10000	5	0.8	0	composite	0.1	10204	103	1	0.009708737864077669
10000	5	0.8	0	composite	0.2	10204	103	3	0.02912621359223301
10000	5	0.8	0	composite	0.3	10204	104	5	0.04807692307692308
10000	5	0.8	0	composite	0.4	10204	103	2	0.019417475728155338
10000	5	0.8	0	composite	0.5	10204	106	7	0.0660377358490566
10000	5	1	0	composite	0.01	10204	103	1	0.009708737864077669
10000	5	1	0	composite	0.05	10204	103	1	0.009708737864077669
10000	5	1	0	composite	0.1	10204	103	1	0.009708737864077669
10000	5	1	0	composite	0.2	10204	103	5	0.04854368932038835
10000	5	1	0	composite	0.3	10204	103	1	0.009708737864077669
10000	5	1	0	composite	0.4	10204	103	8	0.07766990291262135
10000	5	1	0	composite	0.5	10204	103	7	0.06796116504854369
10000	15	0.8	0	composite	0.01	10204	103	2	0.019417475728155338
10000	15	0.8	0	composite	0.05	10204	103	3	0.02912621359223301
10000	15	0.8	0	composite	0.1	10204	103	3	0.02912621359223301
10000	15	0.8	0	composite	0.2	10204	103	6	0.05825242718446602
10000	15	0.8	0	composite	0.3	10204	103	11	0.10679611650485436
10000	15	0.8	0	composite	0.4	10204	103	11	0.10679611650485436
10000	15	0.8	0	composite	0.5	10204	103	19	0.18446601941747573
10000	15	1	0	composite	0.01	10204	103	2	0.019417475728155338
10000	15	1	0	composite	0.05	10204	103	3	0.02912621359223301
10000	15	1	0	composite	0.1	10204	103	3	0.02912621359223301
10000	15	1	0	composite	0.2	10204	103	10	0.0970873786407767
10000	15	1	0	composite	0.3	10204	103	15	0.14563106796116504
10000	15	1	0	composite	0.4	10204	103	15	0.14563106796116504
10000	15	1	0	composite	0.5	10204	104	21	0.20192307692307693
50000	5	0.8	0	composite	0.01	10204	103	1	0.009708737864077669
50000	5	0.8	0	composite	0.05	10204	103	1	0.009708737864077669
50000	5	0.8	0	composite	0.1	10204	103	0	0
50000	5	0.8	0	composite	0.2	10204	103	1	0.009708737864077669
50000	5	0.8	0	composite	0.3	10204	103	0	0
50000	5	0.8	0	composite	0.4	10204	103	1	0.009708737864077669
50000	5	0.8	0	composite	0.5	10204	103	0	0
50000	5	1	0	composite	0.01	10204	103	1	0.009708737864077669
50000	5	1	0	composite	0.05	10204	103	3	0.02912621359223301
50000	5	1	0	composite	0.1	10204	103	0	0
50000	5	1	0	composite	0.2	10204	103	0	0
50000	5	1	0	composite	0.3	10204	103	2	0.019417475728155338
50000	5	1	0	composite	0.4	10204	103	2	0.019417475728155338
50000	5	1	0	composite	0.5	10204	103	4	0.038834951456310676
50000	15	0.8	0	composite	0.01	10204	103	2	0.019417475728155338
50000	15	0.8	0	composite	0.05	10204	103	1	0.009708737864077669
50000	15	0.8	0	composite	0.1	10204	103	2	0.019417475728155338
50000	15	0.8	0	composite	0.2	10204	103	2	0.019417475728155338
50000	15	0.8	0	composite	0.3	10204	103	1	0.009708737864077669
50000	15	0.8	0	composite	0.4	10204	103	2	0.019417475728155338
50000	15	0.8	0	composite	0.5	10204	103	8	0.07766990291262135
50000	15	1	0	composite	0.01	10204	103	2	0.019417475728155338
50000	15	1	0	composite	0.05	10204	103	2	0.019417475728155338
50000	15	1	0	composite	0.1	10204	103	3	0.02912621359223301
50000	15	1	0	composite	0.2	10204	103	1	0.009708737864077669
50000	15	1	0	composite	0.3	10204	103	2	0.019417475728155338
50000	15	1	0	composite	0.4	10204	103	3	0.02912621359223301
50000	15	1	0	composite	0.5	10204	103	5	0.04854368932038835
100000	5	0.8	0	composite	0.01	10204	103	1	0.009708737864077669
100000	5	0.8	0	composite	0.05	10204	103	1	0.009708737864077669
100000	5	0.8	0	composite	0.1	10204	103	0	0
100000	5	0.8	0	composite	0.2	10204	103	0	0
100000	5	0.8	0	composite	0.3	10204	103	3	0.02912621359223301
100000	5	0.8	0	composite	0.4	10204	103	1	0.009708737864077669
100000	5	0.8	0	composite	0.5	10204	103	0	0
100000	5	1	0	composite	0.01	10204	103	0	0
100000	5	1	0	composite	0.05	10204	103	1	0.009708737864077669
100000	5	1	0	composite	0.1	10204	103	0	0
100000	5	1	0	composite	0.2	10204	103	0	0
100000	5	1	0	composite	0.3	10204	103	2	0.019417475728155338
100000	5	1	0	composite	0.4	10204	103	2	0.019417475728155338
100000	5	1	0	composite	0.5	10204	103	1	0.009708737864077669
100000	15	0.8	0	composite	0.01	10204	103	0	0
100000	15	0.8	0	composite	0.05	10204	103	0	0
100000	15	0.8	0	composite	0.1	10204	103	3	0.02912621359223301
100000	15	0.8	0	composite	0.2	10204	103	1	0.009708737864077669
100000	15	0.8	0	composite	0.3	10204	103	1	0.009708737864077669
100000	15	0.8	0	composite	0.4	10204	103	3	0.02912621359223301
100000	15	0.8	0	composite	0.5	10204	103	6	0.05825242718446602
100000	15	1	0	composite	0.01	10204	103	4	0.038834951456310676
100000	15	1	0	composite	0.05	10204	103	1	0.009708737864077669
100000	15	1	0	composite	0.1	10204	103	1	0.009708737864077669
100000	15	1	0	composite	0.2	10204	103	1	0.009708737864077669
100000	15	1	0	composite	0.3	10204	103	5	0.04854368932038835
100000	15	1	0	composite	0.4	10204	103	0	0
100000	15	1	0	composite	0.5	10204	103	4	0.038834951456310676
