Ne	Gen_time	decline	f0	score_type	sel_s	n_total	n_outliers	n_selected_outliers	freq_selected
10000	5	0.8	0	taj_only	0.01	10204	103	1	0.009708737864077669
10000	5	0.8	0	taj_only	0.05	10204	103	0	0
10000	5	0.8	0	taj_only	0.1	10204	104	3	0.028846153846153848
10000	5	0.8	0	taj_only	0.2	10204	104	3	0.028846153846153848
10000	5	0.8	0	taj_only	0.3	10204	103	1	0.009708737864077669
10000	5	0.8	0	taj_only	0.4	10204	103	2	0.019417475728155338
10000	5	0.8	0	taj_only	0.5	10204	105	4	0.0380952380952381
10000	5	1	0	taj_only	0.01	10204	103	4	0.038834951456310676
10000	5	1	0	taj_only	0.05	10204	103	0	0
10000	5	1	0	taj_only	0.1	10204	103	1	0.009708737864077669
10000	5	1	0	taj_only	0.2	10204	103	2	0.019417475728155338
10000	5	1	0	taj_only	0.3	10204	103	0	0
10000	5	1	0	taj_only	0.4	10204	103	2	0.019417475728155338
10000	5	1	0	taj_only	0.5	10204	103	4	0.038834951456310676
10000	15	0.8	0	taj_only	0.01	10204	103	1	0.009708737864077669
10000	15	0.8	0	taj_only	0.05	10204	103	1	0.009708737864077669
10000	15	0.8	0	taj_only	0.1	10204	103	2	0.019417475728155338
10000	15	0.8	0	taj_only	0.2	10204	103	2	0.019417475728155338
10000	15	0.8	0	taj_only	0.3	10204	103	7	0.06796116504854369
10000	15	0.8	0	taj_only	0.4	10204	104	4	0.038461538461538464
10000	15	0.8	0	taj_only	0.5	10204	104	8	0.07692307692307693
10000	15	1	0	taj_only	0.01	10204	103	1	0.009708737864077669
10000	15	1	0	taj_only	0.05	10204	103	2	0.019417475728155338
10000	15	1	0	taj_only	0.1	10204	103	3	0.02912621359223301
10000	15	1	0	taj_only	0.2	10204	103	6	0.05825242718446602
10000	15	1	0	taj_only	0.3	10204	103	7	0.06796116504854369
10000	15	1	0	taj_only	0.4	10204	104	5	0.04807692307692308
10000	15	1	0	taj_only	0.5	10204	104	5	0.04807692307692308
50000	5	0.8	0	taj_only	0.01	10204	103	0	0
50000	5	0.8	0	taj_only	0.05	10204	103	2	0.019417475728155338
50000	5	0.8	0	taj_only	0.1	10204	103	0	0
50000	5	0.8	0	taj_only	0.2	10204	103	1	0.009708737864077669
50000	5	0.8	0	taj_only	0.3	10204	103	1	0.009708737864077669
50000	5	0.8	0	taj_only	0.4	10204	103	1	0.009708737864077669
50000	5	0.8	0	taj_only	0.5	10204	103	0	0
50000	5	1	0	taj_only	0.01	10204	103	1	0.009708737864077669
50000	5	1	0	taj_only	0.05	10204	103	2	0.019417475728155338
50000	5	1	0	taj_only	0.1	10204	103	1	0.009708737864077669
50000	5	1	0	taj_only	0.2	10204	103	0	0
50000	5	1	0	taj_only	0.3	10204	103	0	0
50000	5	1	0	taj_only	0.4	10204	103	2	0.019417475728155338
50000	5	1	0	taj_only	0.5	10204	103	0	0
50000	15	0.8	0	taj_only	0.01	10204	103	1	0.009708737864077669
50000	15	0.8	0	taj_only	0.05	10204	103	1	0.009708737864077669
50000	15	0.8	0	taj_only	0.1	10204	103	1	0.009708737864077669
50000	15	0.8	0	taj_only	0.2	10204	103	3	0.02912621359223301
50000	15	0.8	0	taj_only	0.3	10204	103	2	0.019417475728155338
50000	15	0.8	0	taj_only	0.4	10204	103	2	0.019417475728155338
50000	15	0.8	0	taj_only	0.5	10204	103	2	0.019417475728155338
50000	15	1	0	taj_only	0.01	10204	103	3	0.02912621359223301
50000	15	1	0	taj_only	0.05	10204	103	2	0.019417475728155338
50000	15	1	0	taj_only	0.1	10204	103	2	0.019417475728155338
50000	15	1	0	taj_only	0.2	10204	103	1	0.009708737864077669
50000	15	1	0	taj_only	0.3	10204	103	2	0.019417475728155338
50000	15	1	0	taj_only	0.4	10204	103	2	0.019417475728155338
50000	15	1	0	taj_only	0.5	10204	103	1	0.009708737864077669
100000	5	0.8	0	taj_only	0.01	10204	103	1	0.009708737864077669
100000	5	0.8	0	taj_only	0.05	10204	103	1	0.009708737864077669
100000	5	0.8	0	taj_only	0.1	10204	103	0	0
100000	5	0.8	0	taj_only	0.2	10204	103	2	0.019417475728155338
100000	5	0.8	0	taj_only	0.3	10204	103	2	0.019417475728155338
100000	5	0.8	0	taj_only	0.4	10204	103	1	0.009708737864077669
100000	5	0.8	0	taj_only	0.5	10204	103	3	0.02912621359223301
100000	5	1	0	taj_only	0.01	10204	103	0	0
100000	5	1	0	taj_only	0.05	10204	103	2	0.019417475728155338
100000	5	1	0	taj_only	0.1	10204	103	1	0.009708737864077669
100000	5	1	0	taj_only	0.2	10204	103	1	0.009708737864077669
100000	5	1	0	taj_only	0.3	10204	103	3	0.02912621359223301
100000	5	1	0	taj_only	0.4	10204	103	3	0.02912621359223301
100000	5	1	0	taj_only	0.5	10204	103	1	0.009708737864077669
100000	15	0.8	0	taj_only	0.01	10204	103	3	0.02912621359223301
100000	15	0.8	0	taj_only	0.05	10204	103	1	0.009708737864077669
100000	15	0.8	0	taj_only	0.1	10204	103	1	0.009708737864077669
100000	15	0.8	0	taj_only	0.2	10204	103	2	0.019417475728155338
100000	15	0.8	0	taj_only	0.3	10204	103	3	0.02912621359223301
100000	15	0.8	0	taj_only	0.4	10204	103	1	0.009708737864077669
100000	15	0.8	0	taj_only	0.5	10204	103	2	0.019417475728155338
100000	15	1	0	taj_only	0.01	10204	103	1	0.009708737864077669
100000	15	1	0	taj_only	0.05	10204	103	3	0.02912621359223301
100000	15	1	0	taj_only	0.1	10204	103	0	0
100000	15	1	0	taj_only	0.2	10204	103	1	0.009708737864077669
100000	15	1	0	taj_only	0.3	10204	103	2	0.019417475728155338
100000	15	1	0	taj_only	0.4	10204	103	0	0
100000	15	1	0	taj_only	0.5	10204	103	0	0
