Ne	Gen_time	decline	f0	score_type	sel_s	n_total	n_outliers	n_selected_outliers	freq_selected
10000	5	0.8	0	fst_only	0.01	10204	107	2	0.018691588785046728
10000	5	0.8	0	fst_only	0.05	10204	107	2	0.018691588785046728
10000	5	0.8	0	fst_only	0.1	10204	106	1	0.009433962264150943
10000	5	0.8	0	fst_only	0.2	10204	107	2	0.018691588785046728
10000	5	0.8	0	fst_only	0.3	10204	103	4	0.038834951456310676
10000	5	0.8	0	fst_only	0.4	10204	107	2	0.018691588785046728
10000	5	0.8	0	fst_only	0.5	10204	108	3	0.027777777777777776
10000	5	1	0	fst_only	0.01	10204	103	1	0.009708737864077669
10000	5	1	0	fst_only	0.05	10204	103	3	0.02912621359223301
10000	5	1	0	fst_only	0.1	10204	103	1	0.009708737864077669
10000	5	1	0	fst_only	0.2	10204	103	3	0.02912621359223301
10000	5	1	0	fst_only	0.3	10204	103	1	0.009708737864077669
10000	5	1	0	fst_only	0.4	10204	103	5	0.04854368932038835
10000	5	1	0	fst_only	0.5	10204	104	4	0.038461538461538464
10000	15	0.8	0	fst_only	0.01	10204	103	2	0.019417475728155338
10000	15	0.8	0	fst_only	0.05	10204	103	4	0.038834951456310676
10000	15	0.8	0	fst_only	0.1	10204	103	2	0.019417475728155338
10000	15	0.8	0	fst_only	0.2	10204	103	4	0.038834951456310676
10000	15	0.8	0	fst_only	0.3	10204	103	13	0.1262135922330097
10000	15	0.8	0	fst_only	0.4	10204	103	9	0.08737864077669903
10000	15	0.8	0	fst_only	0.5	10204	103	12	0.11650485436893204
10000	15	1	0	fst_only	0.01	10204	103	2	0.019417475728155338
10000	15	1	0	fst_only	0.05	10204	103	2	0.019417475728155338
10000	15	1	0	fst_only	0.1	10204	103	4	0.038834951456310676
10000	15	1	0	fst_only	0.2	10204	103	6	0.05825242718446602
10000	15	1	0	fst_only	0.3	10204	103	8	0.07766990291262135
10000	15	1	0	fst_only	0.4	10204	103	15	0.14563106796116504
10000	15	1	0	fst_only	0.5	10204	103	16	0.1553398058252427
50000	5	0.8	0	fst_only	0.01	10204	103	2	0.019417475728155338
50000	5	0.8	0	fst_only	0.05	10204	103	3	0.02912621359223301
50000	5	0.8	0	fst_only	0.1	10204	103	0	0
50000	5	0.8	0	fst_only	0.2	10204	103	0	0
50000	5	0.8	0	fst_only	0.3	10204	103	1	0.009708737864077669
50000	5	0.8	0	fst_only	0.4	10204	103	1	0.009708737864077669
50000	5	0.8	0	fst_only	0.5	10204	103	2	0.019417475728155338
50000	5	1	0	fst_only	0.01	10204	103	0	0
50000	5	1	0	fst_only	0.05	10204	103	0	0
50000	5	1	0	fst_only	0.1	10204	103	0	0
50000	5	1	0	fst_only	0.2	10204	103	1	0.009708737864077669
50000	5	1	0	fst_only	0.3	10204	103	3	0.02912621359223301
50000	5	1	0	fst_only	0.4	10204	103	1	0.009708737864077669
50000	5	1	0	fst_only	0.5	10204	103	3	0.02912621359223301
50000	15	0.8	0	fst_only	0.01	10204	103	1	0.009708737864077669
50000	15	0.8	0	fst_only	0.05	10204	103	0	0
50000	15	0.8	0	fst_only	0.1	10204	103	3	0.02912621359223301
50000	15	0.8	0	fst_only	0.2	10204	103	1	0.009708737864077669
50000	15	0.8	0	fst_only	0.3	10204	103	3	0.02912621359223301
50000	15	0.8	0	fst_only	0.4	10204	103	2	0.019417475728155338
50000	15	0.8	0	fst_only	0.5	10204	103	6	0.05825242718446602
50000	15	1	0	fst_only	0.01	10204	103	0	0
50000	15	1	0	fst_only	0.05	10204	103	2	0.019417475728155338
50000	15	1	0	fst_only	0.1	10204	103	2	0.019417475728155338
50000	15	1	0	fst_only	0.2	10204	103	1	0.009708737864077669
50000	15	1	0	fst_only	0.3	10204	103	3	0.02912621359223301
50000	15	1	0	fst_only	0.4	10204	103	5	0.04854368932038835
50000	15	1	0	fst_only	0.5	10204	103	5	0.04854368932038835
100000	5	0.8	0	fst_only	0.01	10204	103	0	0
100000	5	0.8	0	fst_only	0.05	10204	103	2	0.019417475728155338
100000	5	0.8	0	fst_only	0.1	10204	103	2	0.019417475728155338
100000	5	0.8	0	fst_only	0.2	10204	103	0	0
100000	5	0.8	0	fst_only	0.3	10204	103	4	0.038834951456310676
100000	5	0.8	0	fst_only	0.4	10204	103	2	0.019417475728155338
100000	5	0.8	0	fst_only	0.5	10204	103	1	0.009708737864077669
100000	5	1	0	fst_only	0.01	10204	103	0	0
100000	5	1	0	fst_only	0.05	10204	103	1	0.009708737864077669
100000	5	1	0	fst_only	0.1	10204	103	0	0
100000	5	1	0	fst_only	0.2	10204	103	0	0
100000	5	1	0	fst_only	0.3	10204	103	0	0
100000	5	1	0	fst_only	0.4	10204	103	1	0.009708737864077669
100000	5	1	0	fst_only	0.5	10204	103	1	0.009708737864077669
100000	15	0.8	0	fst_only	0.01	10204	103	0	0
100000	15	0.8	0	fst_only	0.05	10204	103	0	0
100000	15	0.8	0	fst_only	0.1	10204	103	1	0.009708737864077669
100000	15	0.8	0	fst_only	0.2	10204	103	0	0
100000	15	0.8	0	fst_only	0.3	10204	103	2	0.019417475728155338
100000	15	0.8	0	fst_only	0.4	10204	103	3	0.02912621359223301
100000	15	0.8	0	fst_only	0.5	10204	103	2	0.019417475728155338
