Ne	Gen_time	decline	f0	sel_s	n_out_composite	n_out_fst	n_out_taj	n_sel_out_composite	n_sel_out_fst	n_sel_out_taj	power_composite	power_fst	power_taj
10000	5	0.8	0	0.01	103	107	103	1	2	1	0.009708737864077669	0.018691588785046728	0.009708737864077669
10000	5	0.8	0	0.05	103	107	103	1	2	0	0.009708737864077669	0.018691588785046728	0
10000	5	0.8	0	0.1	103	106	104	1	1	3	0.009708737864077669	0.009433962264150943	0.028846153846153848
10000	5	0.8	0	0.2	103	107	104	3	2	3	0.02912621359223301	0.018691588785046728	0.028846153846153848
10000	5	0.8	0	0.3	104	103	103	5	4	1	0.04807692307692308	0.038834951456310676	0.009708737864077669
10000	5	0.8	0	0.4	103	107	103	2	2	2	0.019417475728155338	0.018691588785046728	0.019417475728155338
10000	5	0.8	0	0.5	106	108	105	7	3	4	0.0660377358490566	0.027777777777777776	0.0380952380952381
10000	5	1	0	0.01	103	103	103	1	1	4	0.009708737864077669	0.009708737864077669	0.038834951456310676
10000	5	1	0	0.05	103	103	103	1	3	0	0.009708737864077669	0.02912621359223301	0
10000	5	1	0	0.1	103	103	103	1	1	1	0.009708737864077669	0.009708737864077669	0.009708737864077669
10000	5	1	0	0.2	103	103	103	5	3	2	0.04854368932038835	0.02912621359223301	0.019417475728155338
10000	5	1	0	0.3	103	103	103	1	1	0	0.009708737864077669	0.009708737864077669	0
10000	5	1	0	0.4	103	103	103	8	5	2	0.07766990291262135	0.04854368932038835	0.019417475728155338
10000	5	1	0	0.5	103	104	103	7	4	4	0.06796116504854369	0.038461538461538464	0.038834951456310676
10000	15	0.8	0	0.01	103	103	103	2	2	1	0.019417475728155338	0.019417475728155338	0.009708737864077669
10000	15	0.8	0	0.05	103	103	103	3	4	1	0.02912621359223301	0.038834951456310676	0.009708737864077669
10000	15	0.8	0	0.1	103	103	103	3	2	2	0.02912621359223301	0.019417475728155338	0.019417475728155338
10000	15	0.8	0	0.2	103	103	103	6	4	2	0.05825242718446602	0.038834951456310676	0.019417475728155338
10000	15	0.8	0	0.3	103	103	103	11	13	7	0.10679611650485436	0.1262135922330097	0.06796116504854369
10000	15	0.8	0	0.4	103	103	104	11	9	4	0.10679611650485436	0.08737864077669903	0.038461538461538464
10000	15	0.8	0	0.5	103	103	104	19	12	8	0.18446601941747573	0.11650485436893204	0.07692307692307693
10000	15	1	0	0.01	103	103	103	2	2	1	0.019417475728155338	0.019417475728155338	0.009708737864077669
10000	15	1	0	0.05	103	103	103	3	2	2	0.02912621359223301	0.019417475728155338	0.019417475728155338
