sel_s	score_type	n_groups	mean_power	median_power
0.01	composite	12	0.013754045307443365	0.009708737864077669
0.01	fst_only	12	0.008839185796812145	0.009708737864077669
0.01	taj_only	12	0.013754045307443365	0.009708737864077669
0.05	composite	12	0.014563106796116505	0.009708737864077669
0.05	fst_only	12	0.017738862172216676	0.019417475728155338
0.05	taj_only	12	0.013754045307443365	0.014563106796116504
0.1	composite	12	0.013754045307443365	0.009708737864077669
0.1	fst_only	12	0.013731147340782804	0.009708737864077669
0.1	taj_only	12	0.012112584017923823	0.009708737864077669
0.2	composite	12	0.024271844660194174	0.009708737864077669
0.2	fst_only	12	0.0161207391948704	0.009708737864077669
0.2	taj_only	12	0.019394137415982074	0.019417475728155338
0.3	composite	12	0.038796054269355236	0.019417475728155338
0.3	fst_only	12	0.03559870550161812	0.02912621359223301
0.3	taj_only	12	0.024271844660194174	0.019417475728155338
0.4	composite	12	0.040453074433656956	0.019417475728155338
0.4	fst_only	12	0.04039258385506457	0.024271844660194174
0.4	taj_only	12	0.02015652228030869	0.019417475728155338
0.5	composite	12	0.06601938811936064	0.05339805825242719
0.5	fst_only	12	0.047591140430946255	0.03379387602688574
0.5	taj_only	12	0.02410906919402065	0.019417475728155338
